"type","title","town","lat","long"
"PLACE","Wimpole Estate","Royston",52.1400038,-0.0488461
"PLACE","Hatfield Forest","Bishop's Stortford",51.8592,0.2363
"PLACE","Shaw's Corner","near Welwyn",51.836215,-0.26844
"PLACE","Willington Dovecote and Stables","near Bedford",52.137501,-0.3808
"PLACE","Anglesey Abbey, Gardens and Lode Mill","Cambridge",52.235915,0.2448
"PLACE","Moleskin and Markham Hills","near Streatley",51.94473,-0.44615
"PLACE","Sharpenhoe and Sundon Hills","Streatley",51.95354,-0.450765
"PLACE","Morven Park","Potters Bar",51.700131,-0.174226
"PLACE","Houghton Mill and Waterclose Meadows","near Huntingdon",52.3311,-0.1204
"PLACE","Dunstable Downs and Whipsnade Estate","Dunstable",51.865538,-0.537432
"PLACE","Wicken Fen National Nature Reserve","Ely",52.3101,0.29291
"PLACE","Whipsnade Tree Cathedral","Dunstable",51.851636,-0.5358892
"PLACE","Ashridge Estate","Near Berkhamsted",51.805599,-0.58542
"PLACE","Pitstone Windmill","Ivinghoe",51.831402,-0.62699
"PLACE","Paycocke's House and Garden","Colchester",51.87075,0.68338
"PLACE","Grange Barn","Colchester",51.869099,0.68332
"PLACE","Ascott","Wing near Leighton Buzzard",51.902019,-0.700372
"PLACE","Ramsey Abbey Gatehouse","Huntingdon",52.448502,-0.0997
"PLACE","Sutton House and Breaker's Yard","Hackney",51.548,-0.04921
"PLACE","2 Willow Road","Hampstead",51.557499,-0.16861
"PLACE","Fenton House and Garden","Hampstead",51.558773,-0.180926
"PLACE","Melford Hall","Sudbury",52.0844,0.7281
"PLACE","Danbury Commons and Blakes Wood","Danbury",51.710061,0.576404
"PLACE","Ickworth Estate","Bury St Edmunds",52.222136,0.6563212
"PLACE","Eastbury Manor House","Barking",51.534199,0.10061
"PLACE","Rainham Hall","Havering",51.521696,0.193162
"PLACE","George Inn","Southwark",51.503799,-0.08904
"PLACE","Theatre Royal Bury St Edmunds","Bury St Edmunds",52.24063,0.716911
